Год премии;Кол-во голосов;Лучший фильм_1;Лучший фильм_ 2;Лучший фильм_ 3;Лучший фильм_4;Лучший фильм_5;Лучший фильм_6;Лучший фильм_7;Лучший фильм_8;Лучший фильм_9;Лучший фильм_10;Лучший фильм_11;Лучший фильм_12;Лучший фильм_13;Лучший фильм_14;Лучший фильм_15;Лучший фильм соц. стран_1;Лучший фильм соц. стран_2;Лучший фильм соц. стран_3;Лучший фильм соц. стран_4;Лучший фильм соц. стран_5;Лучший фильм других стран_1;Лучший фильм других стран_2;Лучший фильм других стран_3;Лучший фильм других стран_4;Лучший фильм других стран_5;Слабый фильм_1;Слабый фильм_ 2;Слабый фильм_3;Слабый фильм_4;Слабый фильм_5;Лучший актер_1;Лучшая актриса_1;Лучший актер_2;Лучшая актриса_2;Зрительские симпатии;Лучшие операторы и композиторы (одним блоком);Лучший фильм на военно-патриотическую тематику;Лучший приключенческий;Лучший музыкальный;Лучшая кинокомедия;Лучший актер эпизода;Лучшая зарубежная актриса;Лучший зарубежный актер;Лучший оператор;Лучший композитор;% Женщины;% Мужчины;Менее 14 лет;16-20 лет;14–17 лет;18-24 лет;18-20 лет;21-25 лет;21–24 лет;26-30 лет;25-30 лет;31-35 лет;25-40 лет;31-40 лет;36-40 лет;41-45 лет;41-50 лет;46-50 лет;41-55  лет;более 50 лет;свыше 55;Село;Небольшой город, районный центр, рабочий поселок;Столица республики, областной центр, город с население 100 тыс. человек и более;Москва, Ленинград;Не дали ответа;До 7 классов;До 8 классов;8-10 классов;7-9 классов;7-10 классов;Среднее (неполное и полное);Общее и специальное среднее;Общее среднее;Спец. среднее;Незакон. высшее и высшее;Незакон. высшее;Высшее;Не дали ответа;Рабочие;Колхозники, рабочие совхозов;Инженерно-технические работники;Служащие;Работники сферы обслуживания, торговли, общественного питания и т. д.;Работники культуры и искусства;Научные работники, преподаватели вузов;Работники здравоохранения;Специалисты сельского хозяйства;Преподаватели школы, техникума;Учащиеся школы, техникума;Студенты вузов;Домохозяйки;Пенсионеры;Прочие;Реже раза в месяц;1—2 раза в месяц;Каждую неделю;Несколько раз в неделю;Видели фильмов_менее 15;Видели фильмов_15-30;Видели фильмов_31-50;Видели фильмов_51-70;Видели фильмов_71-100;Видели фильмов_более 100;просят посмотреть_1;просят посмотреть_2;просят посмотреть_3;просят посмотреть_4;просят посмотреть_5;просят посмотреть_6;просят посмотреть_7;просят посмотреть_8;просят посмотреть_9;просят посмотреть_10;просят посмотреть_11;просят посмотреть_12;просят посмотреть_13;просят посмотреть_14;просят посмотреть_15;просят посмотреть_16;просят посмотреть_17;просят посмотреть_18;просят посмотреть_19;просят посмотреть_20;просят посмотреть_21;просят посмотреть_22;просят посмотреть_23;просят посмотреть_24;просят посмотреть_25;просят посмотреть_26;просят посмотреть_27;просят посмотреть_28;просят посмотреть_29;просят посмотреть_30;просят посмотреть_31;просят посмотреть_32;просят посмотреть_33;просят посмотреть_34;просят посмотреть_35;просят посмотреть_36;просят посмотреть_37;просят посмотреть_38
1978;22000;Служебный роман;Судьба;Мой ласковый и нежный зверь;Фронт за линией фронта;Странная женщина;Школьный вальс;Блокада. Фильм четвертый. Операция «Искра»;Блокада. Фильм третий. Ленинградский метроном;В зоне особого внимания;Трясина;-;-;-;-;-;Игрушка (Франция);Частный детектив (Франция);Знакомство по брачному объявлению (Франция);Последний выстрел (Франция);Вендетта по-корсикански (Франция);Багдасар разводится с женой;Дипломаты поневоле;На горе стоит гора;Целуются зори;-;Ирина Купченко;Георгий Беляев, Сергей Бондарчук, Михаил Боярский, Олег Вавилов, Наталья Еременко, Елена Коренева, Елена Матвеева, Фрунзик Мкртчян, Нонна Мордюкова, Елена Проклова, Виктор Проханов, Жанна Прохоренко, Леонид Сенчин, Евгений Симонов, Вячеслав Тихонов, Сергей Тома, Елена Цыплакова, Олег Янковский, Жан-Поль Бельмондо, Радж Капур, Адриано Жирардо;-;-;-;-;-;-;-;;;;;;;;;;;;55,7;44,3;0,2;;19;;23,9;;26,4;17;;;;7,9;;;;;4,2;;1,4;2,9;24,3;52,8;20;;0,4;;;15;;;;22;20,3;;21,6;20,7;;10,4;0,5;12,7;14,8;4,2;6,3;3,5;;;2,6;22;20;0,3;0,8;1,9;6,2;44,2;38,1;11,5;;;;;;;Белый Бим Черное ухо;Братья Карамазовы;Броненосец «Потемкин»;Великий гражданин;Веселые ребята;Весна на Заречной улице;Война и мир;Воскресение;Двенадцатая ночь;Дело было в Пенькове;Иван Грозный;Идиот;Калина красная;Карнавальная ночь;Летят журавли;Мертвый сезон;Молодая гвардия;Овод;Оптимистическая трагедия;Парень из нашего города;Петр I;Поднятая целина;Праздник святого Йоргена;Председатель;Путевка в жизнь;Сердца четырех;Трактористы;Хождение по мукам;Чапаев;Чистое небо;Щит и меч;Александр Невский;Андрей Рублев;Анна Каренина;;;;
1979;22000;Молодая жена;Поговорим, брат (2 с.);Старомодная комедия;Последний шанс;Пять вечеров;Баламут;Вкус хлеба (4 с.);Кентавры (2 с.);Когда я стану великаном;Четвёртая высота;;;;;;Большое путешествие Болека и Лелека (Польша);Черная акула (Болгария);День для моих любимых (Чехословакия);Пора любви и надежд (Югославия);Освобождение Праги (Чехословакия);Каскадеры (США);Блеф (Италия);Не упускай из виду (Франция и ФРГ);Принцы-лебеди (Япония);Смерть негодяя (Франция);Здравствуй, река;Ученик эскулапа;Городок Анара;;;Станислав Любшин;Алла Пугачева;;;"А. Абдулов; И. Андроников; В. Ардова; Н. Архипенко; Д. Банионис; Г. Беляев; М. Боярский; И. Владимирова; Н. Гундарева; Л. Гурченко; Л. Касаткина; Е. Матвеев; Г. Юрский; А. Фрейндлих; С. Шакуров; А. Жженов; А. Демьяненко; Т. Доронина";;;;;;;;;;;56,1;43,9;1;;19,4;;24,5;;24,5;;17,5;;;8,9;;4;;;;;1;4,4;25,1;54,9;15,6;;0,9;;;16,2;;;;23,3;19,8;;19,5;20,3;;13,4;0,5;11,9;13,3;5,1;6;3,6;;;2,5;22,7;18,2;0,4;0,8;1,6;5;39,9;39,4;15,7;;;;;;;А зори здесь тихие;Александр Невский;Белорусский вокзал;Большая жизнь;Братья Карамазовы;Великая Отечественная;В шесть часов вечера после войны;Две жизни;9 дней одного года;Дело было в Пенькове;Добровольцы;Иван Грозный;Идиот;Калина красная;Коммунист;Кубанские казаки;Летят журавли;Любить человека;Машенька;Молодая гвардия;Овод;Они сражались за Родину;Петр I;Радуга;Русское поле;Свадьба с приданым;Сказание о земле Сибирской;Тихий Дон;Тишина;Угрюм-река;Чистое небо;Щит и меч;;;;;;
1980;28000;Москва слезам не верит;Экипаж;В моей смерти прошу винить Клаву К.;Сибириада;Осенний марафон;Сыщик;Отец и сын;Гараж;Баллада о спорте;Санта Эсперанса;Пираты XX века;Профессия — киноактер;Несколько дней из жизни И. И. Обломова;Люди в океане;"Опасные друзья; Впервые замужем; Жизнь прекрасна; Петровка, 38; Пограничный пес Алый; Старшина";Мама, я жив! (ГДР);Реванш (Румыния);Человек, которого нельзя забыть (КНДР);Снова вместе (Румыния);Моя первая любовь (СРВ);Дюймовочка (Япония);Спасите «Конкорд» (Франция);Площадь Сан-Бабила, 20 часов (Италия);Чудовище (Франция);Козерог-один (США);;;;;;Николай Еременко;Вера Алентова;Алексей Баталов;Ирина Муравьева;"А. Абдулов; И. Алферова; Л. Ахеджакова; О. Басилашвили; Е. Глушенко; Н. Гундарева; Л. Гурченко; Г. Жженов; А. Кайдановский; Н. Михалков; М. Неелова; Е. Симонова; О. Табаков; А. Ташков; В. Шевельков; А. Яковлева";;;;;;;;;;;55,5;44,5;0,7;;19,6;;24,3;;25,6;;17,1;;;7,5;;;;;4;;1,2;4,6;21,8;59,3;14,3;;1,3;;;15,1;;;;22,5;17,7;;20,3;23,1;;11,6;0,4;13,5;13,3;4,2;3,6;3,5;;;2,3;23,2;20,3;0,4;1;2,5;;;;;;;;;;;Александр Невский;Андрей Рублев;Анна Каренина;Братья Карамазовы;Весна на Заречной улице;Волга-Волга;Война и мир;Гамлет;Девчата;Дело было в Пенькове;Зеркало;Золотой теленок;Иван Грозный;Идиот;Калина красная;Карнавальная ночь;Кубанские казаки;Летят журавли;Люди и звери;Молодая гвардия;Неуловимые мстители;Овод;Петр Первый;Поднятая целина;Преступление и наказание;Ромео и Джульетта;Свадьба в Малиновке;Сердца четырех;Солярис;Чужая родня;Щит и меч;;;;;;;
1981;39000;Вам и не снилось...;О спорт, ты — мир!;Юность Петра;В начале славных дел;Тегеран-43;Однажды двадцать лет спустя;Эскадрон гусар летучих;Особо важное задание;Последний побег;Через тернии к звездам;Служа отечеству;Сашка;Ответный ход;Незваный друг;Возьму твою боль;Барьер (Болгария);Бегемот Гуго (Венгрия совм. с США);Медвежонок в космосе (Польша);Красавица и чудовище (Чехословакия);У моего брата хороший братишка (Чехословакия);Три дня «Кондора» (США);Я боюсь (Италия);Переход (Англия);Роковое путешествие (Англия);Таро — сын дракона (Япония);-;-;-;-;-;Дмитрий Золотухин;Наталья Гундарева;Андрей Ростоцкий;Татьяна Аксюта;Н. Белозаостиков, В. Гостюхина, Л. Гурченко, О. Даль, А. Джигарханян, И. Костолевский, Е. Метелкин, А. Миронов, Д. Михайлов, М. Неелов, О. Остроумов, Е. Проклова, Е. Симонова, И. Смоктуновский, А. Солоницина, М. Ульянова, Т. Чхеидзе;;-;-;-;-;-;-;-;-;-;55,7;44,3;1;;19,9;-;24,8;;24,6;;17,2;;-;7,6;;;;;3,8;;1,1;4;23;56,7;16,3;;1;-;-;16,2;;-;;23,5;17,9;;21,5;19,9;;11,8;0,6;14,4;11,9;3,9;4,7;2,8;;;1,5;24,8;20,4;0,5;0,5;2,2;3,4;42,3;39,8;14,5;-;-;-;-;-;-;Андрей Рублев;Анна Каренина;Аэлита;Богдан Хмельницкий;Братья Карамазовы;Веселые ребята;Весна на Заречной улице;Война и мир;Гамлет;Гусарская баллада;Девчата;Дело было в Пенькове;Зеркало;Иван Грозный;Иваново детство;Идиот;Ирония судьбы, или С легким паром!;Калина красная;Король Лир;Кубанские казаки;Летят журавли;Люди и звери;Молодая гвардия;Неуловимые мстители;Овод;Петр I;Поднятая целина;Солярис;Тихий Дон;Тишина;Чистое небо;Чрезвычайное происшествие;Щит и меч;;;;;
1982;36211;Мужики!..;Фронт в тылу врага;Мария, Мирабела;Не могу сказать «Прощай»;Мать Мария;Полынь — трава горькая;Надежда и опора;Случай в квадрате 36–80;Отцы и деды;Праздник детства;Любимая женщина механика Гаврилова;Через Гоби и Хинган;Спортлото-82;Ярослав Мудрый;Александр маленький;Пришло время любить (Югославия);Йо-хо-хо (Болгария);Битва за Рим (Румыния и Италия);Официант, получите! (Чехословакия);Люби, люби, но не теряй головы (Югославия);Скупой (Франция);Лесси (США);Крамер против крамера (США);Двенадцать месяцев (Япония);Человек на коленях (Италия);-;-;-;-;-;Александр Михайлов;Ирина Муравьева;Юрий Демич;Людмила Гурченко;Александр Абдулов, Михаил Боярский, Людмила Джигарханян, Николай Мордюков, Леонид Нильский, Андрей Панин, Светлана Ротару, Евгений Симонов, Вячеслав Тихонов, Михаил Ульянов, Любовь Чурсина;;-;-;-;-;-;-;-;-;-;55,4;44,6;-;;19,7;-;24,7;;24,6;;17,2;;-;7,8;;;;;4;;1;-;-;-;-;;1,2;-;-;14,9;;-;;21,9;22;;19,8;20,2;;11,8;0,5;12,5;13,4;3,5;4,2;2,9;;;2,3;25,1;19,4;0,4;0,7;3,3;-;-;-;-;-;-;-;-;-;-;Андрей Рублёв;Анна Каренина;Афоня;Бабье царство;Братья Карамазовы;Вас ожидает гражданка Никанорова;Верьте мне, люди;Гамлет;Зеркало;Иван Грозный;Иван Бровкин;Иван Васильевич меняет профессию;Идиот;Ирония судьбы, или С лёгким паром!;Калина красная;Люди и звери;Мичман Панин;Мусоргский;Неуловимые мстители;Овод;Осенний марафон;Пётр I;Помни имя своё;Председатель;Разные судьбы;Русское поле;Сладкая женщина;Солярис;Сталкер;Тихий Дон;Тишина;Трактористы;Убийство на улице Данте;;;;;
1983;33935;Вокзал для двоих;Пацаны;Влюблен по собственному желанию;Средь бела дня...;Васса;Шел четвертый год войны...;Человек родился;Грачи;Не хочу быть взрослым;Полеты во сне и наяву;Демидовы;Приказ: перейти границу;Без свидетелей;Избранные;Скорость;Мираж (Румыния);Знахарь (Польша);Вук (Венгрия);Пограничник (Куба);Олимпиада-40 (Польша);Укрощение строптивого (Италия);Невезучие (Франция);Гонщик «Серебряной мечты» (Великобритания);Призрачное счастье (Индия);Крик раненого (Индия);-;-;-;-;-;Олег Янковский;Людмила Гурченко;Леонид Филатов;Евгения Глушенко;Г. Беляева, О. Басилашвили, Н.Гундарева, Т. Друбич, И. Купченко, В. Приемыхов, И. Скляр, В. Соломин, А. Харитонов, И. Чурикова;;Шел четвертый год войны;Возвращение резидента;Мы из джаза;Женатый холостяк;Никита Михалков;Анни Жирадо;Адриано Челентано;"Евгений Гуслинский; Владимирр Нахабцев";Алексей Рыбников;54,7;45,3;1;;20;-;24,9;;23,6;;17,5;;-;8;;;;;4;;1;2,6;20,9;62,4;14,1;;1,2;-;-;14,4;;-;;21,6;19,1;;21;22,7;;11,2;0,2;14,2;12,3;4;5,9;2,4;;;2;24,3;20;0,4;0,7;2,4;6,6;45,8;36,6;11;-;-;-;-;-;-;Анна Каренина;Братья Карамазовы;Великий гражданин;Война и мир;Жди меня;Иван Грозный;Идиот;Красные дьяволята;Неуловимые мстители;Они сражались за Родину;Петр I;Председатель;Приходите завтра...;Разные судьбы;Солярис;Тихий Дон;Тишина;Чистое небо;Щит и меч;;;;;;;;;;;;;;;;;;;
1984;35280;Жестокий романс;Чучело;Оглянись;Любовь Орлова;Белые Росы;Я тебя никогда не забуду;Военно-полевой роман;Берег;Одиноким предоставляется общежитие;Любовь и голуби;Признать виновным;Магия черная и белая;Блондинка за углом;Европейская история;Легенда о любви;Приключения Робинзона Крузо, моряка из Йорка (Чехославакия);Третий принц (Чехославакия);С тобой меня радует мир (Чехославакия);Принц за семью морями (ГДР);"Новые приключения ""Желтой розы"" (Румыния)";Тутси (США);Спартак (США);Цена риска (Франция);Умеющий молчать (Индия);Фрэнсис (Англия);-;-;-;-;-;Никита Михалков;Наталия Гундарева;Вячеслав Тихонов ;Наталия Белохвостикова;В. Алентов, Н. Андрейченко, Н. Бурляева, Л. Гузеева, Л. Гурченко, Т. Догилева, Н. Караченцова, А. Миронов, А. Михайлов, К. Орбакайте, В. Санаев, Л. Филатов, А. Харитонов, Е. Цыплаков, И.Чуирокова, Б. Щербаков;;Берег;Тайна «Черных дроздов»;Рецепт ее молодости;Белые росы;Лия Ахеджакова;Джессика Ланж;Дастин Хоффман;Вадим Алисов;Андрей Петров;55;45;2;;19,6;-;24,4;;24,4;;17;;-;7,7;;;;;3,9;;1;3,1;22,7;52,8;21,4;;1,9;-;-;15,4;;-;;20,7;20,1;;21;20,9;;10,9;0,3;11,7;13;4,9;5,4;2,6;;;2,2;25,4;19,9;0,8;0,8;2,1;7,2;47;33,2;12,6;-;-;-;-;-;-;А зори здесь тихие...;Битва в пути;Братья Карамазовы;Верьте мне, люди;Встреча на Эльбе;Гараж;Дерево желаний;Жди меня;Иван Грозный;Исправленному верить;Калина красная;Неуловимые мстители;Опасны гастроли;Помни имя свое;Председатель;Разные судьбы;Русское поле;Сверстницы;Секретная миссия;Сто дней после детства;Суета сует;Тишина;Уходя уходи;Чапаев;Чрезвычайное происшествие;Чистое небо;Щит и меч;;;;;;;;;;;
1985;35764;Законный брак;Самая обаятельная и привлекательная;Мама, я жив;Зимняя вишня;Победа;Успех;Мой друг Иван Лапшин;Отряд;Лидер;И на камнях растут деревья;Чужая;Продлись, продлись, очарованье…;Зимний вечер в Гаграх;Багратион;Сказка о царе Салтане;Ва-банк (Польша);Жестокий ринг (Румыния);Приключения бельчонка Мики (Венгрия);Право удочерения (ГДР);Три золотых волоска (Чехославакия);Кармен (Испания);Кэти (США);Босоногий Ген (Япония);Три брата (Индия);Траивиата (США - Италия);Воспоминания о гранатовом дереве;Пришла и говорю;Пока пройдет осенний дождь;Герой ее романа;Букет мимозы и другие цветы;Игорь Костолевский;Елена Сафонова;Ирина Муравьева;Алексей Петренко;Александр Абдулов, Ирина Алферова, Наталья Белохвостикова, Евгений Герасимов, Наталья Гундарева, Людмила Гурченко, Нина Дорошина, Евгений Евстигнеев, Александр Калягин, Леонид Куравлев, Ольга Машная, Александр Михайлов, Вячеслав Невинный, Жанна Прохоренко, Алла Пугачева, Виталий Соломин, Лариса Удовиченко, Леонид Филатов, Александр Харитонов.;;Победа;Малиновое вино;Зимний вечер в Гагарах;Самая обаятельная и привлекательная;Ролан Быков;Моника Витти;Митхун Чакраборти;Вячеслав Шумский;Владимир Дашкевич;55,1;44,9;1;;19,7;-;24,6;;24,6;;17,2;;-;7,9;;;;;4;;1;2,6;21,8;57,5;18,1;;0,9;-;-;14,4;;-;;19,8;20,3;;21,4;23,2;;10,6;0,4;14,2;11,1;3,6;5,6;3;;;3;24,6;20,8;0,3;0,7;2,1;6,1;48,5;34,4;11;-;-;-;-;-;-;Братья Карамазовы;Великий гражданин;Верьте мне, люди;Весна на Заречной улице;Восхождение;Встреча на Эльбе;Даурия;Две жизни;Двенадцать стульев;Иван Грозный;Идиот;Калина красная;Карнавальная ночь;Король Лир;Легенда о Тиле;Люди и звери;Мусоргский;На семи ветрах;Они сражались за Родину;Опасные гастроли;Прощайте, голуби!;Разные судьбы;Сверстницы;Сорок первый;Твой современник;Тихий Дон;Тишина;Чайковский;Щит и меч;;;;;;;;;
1986;34000;Иди и смотри;Игры для детей школьного возраста;Проверка на дорогах;Рейс 222;Битва за Москву;После дождичка, в четверг…;Русь изначальная;Двойной капкан;Письма мертвого человека;Снайперы;-;-;-;-;-;«Новые амазонки» (Польша);«Ошибка молодости» (Югославия);«Невеста подземного принца» (Чехословакия);«Проделки близнецов» (Польша);«Приключения Голубого рыцаря» (Польша);«Новые амазонки» (Польша);«Ошибка молодости» (Югославия);«Невеста подземного принца» (Чехословакия);«Проделки близнецов» (Польша);«Приключения Голубого рыцаря» (Польша);«Светлячки»;«Капитан Аракел»;«Говорящий родник»;«Третье поколение»;«В одном маленьком городе»;Александр Михайлов;Вера Глаголева;Ролан Быков;Евгения Глушенко;Алексей Баталов, Наталья Белохвостикова, Олег Борисов, Наталья Гундарева, Марина Зудина, Ирина Мирошниченко, Инна Муравьёва, Михаил Ульянов, Леонид Филатов, Иван Чуриков, Вера Шевелкова, Александр Ширвиндт, Олег Янковский.;;Иди и смотри;Двойной капкан;Начни сначала;Миллион в брачной корзине;Николай Быков;Фанни Ардан;Филипп Нуаре;Алексей Родионов;Андрей Макаревич;55,2;44,8;1,1;;19,6;-;24,6;;24,5;;17,3;;-;7,9;;;;;4;;1;2,4;23,1;51,3;23,2;;1,3;-;-;14,6;;;;19,6;21,9;;19;23,6;;11,7;0,3;12,1;13,6;4,7;6,5;2,5;;;2,6;24,2;18,3;0,6;0,7;2,2;7;51,3;30,4;11,3;-;-;-;-;-;-;Анна Каренина;Вертикаль;Весна на Заречной улице;Война и мир;Вокзал для двоих;Волга-Волга;Высота;Девушка с гитарой;Заноза;Зеркало;Иван Бровкин на целине;Идиот;Королева бензоколонки;Мусоргский;Над Тиссой;На семи ветрах;Неподдающиеся;Осень;Подслушники;Полосатый рейс;Попрыгунья;Прощайте, голуби!;Радуга;Разные судьбы;Свадьба в Малиновке;Сверстницы;Сибириада;Сибирячка;Смелые люди;Стрекоза;Судьба;Суета сует;Там, где кончается асфальт;Тишина;Трембита;Чайковский;Часы остановились в полночь;Чистое небо
1987;31012;Курьер;Завтра была война;Человек с бульвара Капуцинов;Покаяние;Крейцерова соната;Прости;Знак беды;Плюмбум, или Опасная игра;Короткие встречи;Долгие проводы;-;-;-;-;-;«Ва-банк II, или Ответный удар» (Польша);«Двойник приходит на помощь» (ГДР);«Я тебя люблю» (Монголия);«Король Дроздовик» (ЧССР — ФРГ);«День властелинов» (Болгария);«Папаши» (Франция);«Ганди» (Англия — Индия);«Человек со звезды» (США);«Красная зона» (Франция);«Если ты не со мной» (Индия);«Железное поле»;«Арена неистовых»;«Лермонтов»;«Сувенир»;«Аэропорт со служебного входа»;Андрей Миронов;Наталья Андрейченко;Автандил Махарадзе;Алексанра Аасмяэ;Владимир Высоцкий, Вера Глаголева, Татьяна Догилева, Фёдор Дунаевский, Александр Збруев, Наталья Караченцова, Константин Кинчев, Игорь Костолевский, Ирина Купченко, Евгений Леонов, Валентина Проскурина, Нина Русланова, Сергей Рябов, Лариса Удовиченко, Зинаида Шарко, Олег Янковский, Леонид Ярмольник.;;-;-;-;-;-;Изабель Юппер;Жерар Депардье;-;-;54,4;45,6;1,3;;20,2;-;24,6;;24,6;;17;;-;7;;;;;4,1;;1,2;6;17,2;22,6;15,9;;-;4,8;27,4;-;;-;;-;24,9;;20,6;22,3;;13,7;1,3;-;36,6;-;-;-;;;-;26,9;19,1;1,3;1,1;-;-;-;-;-;-;-;-;-;-;-;Аттестат зрелости;Балтийское небо;Верьте мне, люди;Взрослые дети;Два Федора;Девушка с характером;Дело было в Пенькове;Джульбарс;Женщины;Зеркало;Зигзаг удачи;Ирония судьбы, или С легким паром!;Исправленному верить;Максим Перепелица;Мне двадцать лет (Застава Ильича);Неотправленное письмо;Неуловимые мстители;Последняя реликвия;Республика ШКИД;Смелые люди;Тишина;Человек ниоткуда;Штрафной удар;;;;;;;;;;;;;;;
1988;30054;Холодное лето пятьдесят третьего...;Маленькая Вера;Риск;Меня зовут Арлекино;Комиссар;Десять негритят;Забытая мелодия для флейты;Друг;Воры в законе;Дорогая Елена Сергеевна;Асса;Зеркало для героя;Команда 33;Прощай, шпана замоскворецкая...;Праздник Нептуна (киноальманах);Любовь из пассажа (ЧССР);Алло, такси (СФРЮ);Тайна старого чердака (СФРЮ—ЧССР);Неразлучная пятёрка (ЧССР);Мальчик с большой чёрной собакой (ГДР);Полет над гнездом кукушки (США);Беглецы (Франция);Данди по прозвищу Крокодил (Австралия);Амадей (США);Короткое замыкание (США);Катенька;Первоцвет;Смысл жизни;Импровизация на тему биографии;Странник;Валерий Приёмыхов;Наталья Негода;Леонид Филатов;Татьяна Друбич;Владимир Авилов, Юрий Беляев, Юрий Гафт, Сергей Говорухин, Татьяна Догилева, Любовь Зайцева, Марина Зудина, Сергей Копылов, Михаил Мартинсон, Нонна Мордюкова, Юрий Назаров, Михаил Неёлов, Андрей Панин, Ирина Саввина, Анна Самохина, Александр Соколов, Александр Фомин, Сергей Шакуров.;;-;-;-;-;-;Джессика Ланж;Джек Николсон;-;-;54,6;45,4;1;;20;-;24,9;;23,7;;17,4;;-;8;;;;;4;;1;4;16,2;57,6;22,2;;-;3;27,8;-;;-;;-;26,4;;19,1;23,7;;14,2;0,3;-;39,5;-;-;-;;;-;25,3;18,6;1,2;0,9;-;-;-;-;-;-;-;-;-;-;-;Весна на Заречной улице;Верьте мне, люди;Взрослые дети;Война и мир;Высота;Девушка без адреса;Девушка с гитарой;Девушка с характером;Девчата;Дело Румянцева;Джульбарс;Заноза;Зеркало;Зигзаг удачи;Ирония судьбы, или С лёгким паром!;Исправленному верить;Когда деревья были большими;Люди и звери;Максим Перепелица;Москва слезам не верит;Моя любовь;Музыкальная история;Неподдающиеся;Неуловимые мстители;Помни имя своё;Республика ШКИД;Свадьба в Малиновке;Сверстницы;Солдат Иван Бровкин;Сорок первый;Стрекоза;Тишина;Трембита;Три тополя на Плющихе;Человек ниоткуда;Чистое небо;;
1989;29703;Интердевочка;Власть соловецкая;Француз;Чёрная роза — эмблема печали, красная роза — эмблема любви;СЭР;Поджигатели;Куколка;Игла;За прекрасных дам;Опалённые Кандагаром;Убить дракона;Фонтан;ШОК;Роковая ошибка;Две стрелы;Ловушка для кошек (Венгрия);13-я невеста принца (Болгария);Принцесса-павлин (Китай);Хон Гиль Дон (КНДР);Честный плут (Югославия);Роман с камнем (США);Крокодил Данди (Австралия);Побег (Франция);Однажды в Америке (США);Брак по-итальянски (Италия);Корабль;Эти… три верные карты…;Житие Дон Кихота и Санчо;Осень, Чертаново…;Новые приключения янки при дворе короля Артура;Виктор Цой;Елена Яковлева;Александр Абдулов;Наталья Андрейченко;Олег Борисов, Наталья Гундарева, Татьяна Друбич, Лев Лапин, Александр Панкратов-Чёрный, Анна Самохина, Евгений Сафонов, Леонид Филатов, Олег Янковский, Леониид Ярмольник;;-;-;-;-;-;Лайза Миннелли;Майкл Дуглас;-;-;55,2;44,8;1;;19,7;-;24,7;;24,6;;17,2;;-;7,9;;;;;3,9;;1;6,6;19,6;-;15;;-;2,2;33;-;;-;;-;26,7;;17,4;20,7;;13,7;0,4;-;36,8;-;-;-;;;-;29,4;16,8;1,8;1,2;-;-;-;-;-;-;-;-;-;-;-;Близнецы;Весёлые ребята;Весна;Весна на Заречной улице;Война и мир;Золушка;Иван Грозный;Калина красная;Любить человека;Неподсуден;Пётр Первый;Разные судьбы;Роман и Франческа;Тишина;Цирк;Человек ниоткуда;ЧП;;;;;;;;;;;;;;;;;;;;;
1990;21464;Так жить нельзя;Ха! Ха!.. Хазанов;Подземелье ведьм;Частный детектив, или Операция «Кооперация»;Криминальный квартет;Бабник;Здравия желаю!;Принц-привидение;Дежа вю;Поездка в Висбаден;Ловушка для одинокого мужчины;Беспредел;Делай — раз!;Приключения Пифа;Такси-блюз;-;-;-;-;-;Жажда мести (Индия);Семья (Индия);Друг бедных (Индия);Отпетые мошенники (США);Сети любви (Индия);Бумажные глаза Пришвина;Последняя молния Назарa;Домино (киноальманах);Бесаме;Неотстреленная музыка;Дмитрий Харатьян;Ирина Феофанова;Николай Караченцов;Ирина Шмелева;Людмила Гурченко, Татьяна Догилева, Александр Жигунов, Александр Жигунов, Олег Ильин, Олег Кабо, Елена Коренева, Лев Лапин, Марина Мамонова, Ольга Машная, Олег Меньшиков, Николай Негода, Лев Поляков, Алла Ташкова, Вячеслав Тихонов, Александр Ширвиндт.;;-;-;-;-;-;Мишель Пфайфер;Митхун Чакраборти;;;55,2;44,8;1;;19,7;-;24,6;;24,6;;17,3;;-;7,9;;;;;3,9;;1;7,6;21;-;13;;-;3,6;38,1;-;;-;;-;26,7;;14,7;16,9;;12,7;-;-;29,9;-;-;-;;;-;36,2;14,3;1,7;1,1;-;-;-;-;-;-;-;-;-;-;-;Анна Каренина;Без вести пропавший;Верные друзья;Высота;Гранатовый браслет;Девчата;Зигзаг удачи;Карнавальная ночь;Корона Российской империи;Медовый месяц;Неподдающиеся;Неуловимые мстители;Обвиняются в убийстве;Отчий дом;Республика ШКИД;Человек родился;;;;;;;;;;;;;;;;;;;;;;